Date,RealizationDate,Portfolio,RealizedNextReturn
1927-07-01,1927-08-01,SMALL LoBM,11.7732
1927-07-01,1927-08-01,ME1 BM2,1.7144
1927-07-01,1927-08-01,ME1 BM3,0.7827
1927-07-01,1927-08-01,ME1 BM4,-1.0902
1927-07-01,1927-08-01,SMALL HiBM,0.4598
1927-07-01,1927-08-01,ME2 BM1,0.9771
1927-07-01,1927-08-01,ME2 BM2,-2.4946
1927-07-01,1927-08-01,ME2 BM3,-1.7742
1927-07-01,1927-08-01,ME2 BM4,1.0052
1927-07-01,1927-08-01,ME2 BM5,5.1792
1927-07-01,1927-08-01,ME3 BM1,0.3859
1927-07-01,1927-08-01,ME3 BM2,2.0236
1927-07-01,1927-08-01,ME3 BM3,3.1138
1927-07-01,1927-08-01,ME3 BM4,-2.4153
1927-07-01,1927-08-01,ME3 BM5,-5.4265
1927-07-01,1927-08-01,ME4 BM1,4.8609
1927-07-01,1927-08-01,ME4 BM2,2.8607
1927-07-01,1927-08-01,ME4 BM3,1.0616
1927-07-01,1927-08-01,ME4 BM4,-2.63
1927-07-01,1927-08-01,ME4 BM5,-6.311
1927-07-01,1927-08-01,BIG LoBM,5.6799
1927-07-01,1927-08-01,ME5 BM2,1.2222
1927-07-01,1927-08-01,ME5 BM3,0.4869
1927-07-01,1927-08-01,ME5 BM4,0.8693
1927-07-01,1927-08-01,BIG HiBM,3.9099
1927-08-01,1927-09-01,SMALL LoBM,-4.9477
1927-08-01,1927-09-01,ME1 BM2,-6.7692
1927-08-01,1927-09-01,ME1 BM3,0.5118
1927-08-01,1927-09-01,ME1 BM4,0.1152
1927-08-01,1927-09-01,SMALL HiBM,0.7804
1927-08-01,1927-09-01,ME2 BM1,2.8018
1927-08-01,1927-09-01,ME2 BM2,7.8487
1927-08-01,1927-09-01,ME2 BM3,3.3451
1927-08-01,1927-09-01,ME2 BM4,0.8709
1927-08-01,1927-09-01,ME2 BM5,-1.0305
1927-08-01,1927-09-01,ME3 BM1,3.4348
1927-08-01,1927-09-01,ME3 BM2,0.1227
1927-08-01,1927-09-01,ME3 BM3,1.9899
1927-08-01,1927-09-01,ME3 BM4,1.4024
1927-08-01,1927-09-01,ME3 BM5,9.2306
1927-08-01,1927-09-01,ME4 BM1,4.1893
1927-08-01,1927-09-01,ME4 BM2,3.1354
1927-08-01,1927-09-01,ME4 BM3,4.8659
1927-08-01,1927-09-01,ME4 BM4,4.2518
1927-08-01,1927-09-01,ME4 BM5,9.8708
1927-08-01,1927-09-01,BIG LoBM,5.9378
1927-08-01,1927-09-01,ME5 BM2,4.0847
1927-08-01,1927-09-01,ME5 BM3,5.5908
1927-08-01,1927-09-01,ME5 BM4,3.9949
1927-08-01,1927-09-01,BIG HiBM,5.5923
1927-09-01,1927-10-01,SMALL LoBM,-8.8937
1927-09-01,1927-10-01,ME1 BM2,-8.6899
1927-09-01,1927-10-01,ME1 BM3,-2.2257
1927-09-01,1927-10-01,ME1 BM4,-3.6986
1927-09-01,1927-10-01,SMALL HiBM,-10.1608
1927-09-01,1927-10-01,ME2 BM1,2.3069
1927-09-01,1927-10-01,ME2 BM2,-1.0027
1927-09-01,1927-10-01,ME2 BM3,0.1248
1927-09-01,1927-10-01,ME2 BM4,-4.2448
1927-09-01,1927-10-01,ME2 BM5,-4.9172
1927-09-01,1927-10-01,ME3 BM1,-0.6615
1927-09-01,1927-10-01,ME3 BM2,-1.6228
1927-09-01,1927-10-01,ME3 BM3,0.3233
1927-09-01,1927-10-01,ME3 BM4,-4.0573
1927-09-01,1927-10-01,ME3 BM5,-10.0353
1927-09-01,1927-10-01,ME4 BM1,0.5153
1927-09-01,1927-10-01,ME4 BM2,-2.0353
1927-09-01,1927-10-01,ME4 BM3,-2.6713
1927-09-01,1927-10-01,ME4 BM4,-4.7124
1927-09-01,1927-10-01,ME4 BM5,-11.781
1927-09-01,1927-10-01,BIG LoBM,-5.0131
1927-09-01,1927-10-01,ME5 BM2,-2.2333
1927-09-01,1927-10-01,ME5 BM3,-4.1558
1927-09-01,1927-10-01,ME5 BM4,-6.455
1927-09-01,1927-10-01,BIG HiBM,-14.5457
1927-10-01,1927-11-01,SMALL LoBM,4.3843
1927-10-01,1927-11-01,ME1 BM2,11.4327
1927-10-01,1927-11-01,ME1 BM3,16.5279
1927-10-01,1927-11-01,ME1 BM4,10.1868
1927-10-01,1927-11-01,SMALL HiBM,11.9645
1927-10-01,1927-11-01,ME2 BM1,14.2013
1927-10-01,1927-11-01,ME2 BM2,15.2073
1927-10-01,1927-11-01,ME2 BM3,8.1785
1927-10-01,1927-11-01,ME2 BM4,9.0574
1927-10-01,1927-11-01,ME2 BM5,9.0668
1927-10-01,1927-11-01,ME3 BM1,6.38
1927-10-01,1927-11-01,ME3 BM2,8.6413
1927-10-01,1927-11-01,ME3 BM3,7.8631
1927-10-01,1927-11-01,ME3 BM4,7.0513
1927-10-01,1927-11-01,ME3 BM5,9.8732
1927-10-01,1927-11-01,ME4 BM1,7.6702
1927-10-01,1927-11-01,ME4 BM2,8.5809
1927-10-01,1927-11-01,ME4 BM3,7.6631
1927-10-01,1927-11-01,ME4 BM4,7.7876
1927-10-01,1927-11-01,ME4 BM5,8.101
1927-10-01,1927-11-01,BIG LoBM,6.8751
