Date,RealizationDate,Portfolio,RealizedNextReturn
1964-07-01,1964-08-01,SMALL LoBM,1.6973
1964-07-01,1964-08-01,ME1 BM2,-2.5518
1964-07-01,1964-08-01,ME1 BM3,-1.7484
1964-07-01,1964-08-01,ME1 BM4,-0.8049
1964-07-01,1964-08-01,SMALL HiBM,-0.4831
1964-07-01,1964-08-01,ME2 BM1,-1.8159
1964-07-01,1964-08-01,ME2 BM2,-2.2378
1964-07-01,1964-08-01,ME2 BM3,-1.2322
1964-07-01,1964-08-01,ME2 BM4,0.3431
1964-07-01,1964-08-01,ME2 BM5,-1.866
1964-07-01,1964-08-01,ME3 BM1,-2.7851
1964-07-01,1964-08-01,ME3 BM2,-0.425
1964-07-01,1964-08-01,ME3 BM3,0.1867
1964-07-01,1964-08-01,ME3 BM4,-0.1132
1964-07-01,1964-08-01,ME3 BM5,-2.2609
1964-07-01,1964-08-01,ME4 BM1,-1.0822
1964-07-01,1964-08-01,ME4 BM2,0.1083
1964-07-01,1964-08-01,ME4 BM3,0.9632
1964-07-01,1964-08-01,ME4 BM4,-0.0139
1964-07-01,1964-08-01,ME4 BM5,-1.1736
1964-07-01,1964-08-01,BIG LoBM,-1.2739
1964-07-01,1964-08-01,ME5 BM2,-1.5604
1964-07-01,1964-08-01,ME5 BM3,-0.0792
1964-07-01,1964-08-01,ME5 BM4,-0.8964
1964-07-01,1964-08-01,BIG HiBM,-2.903
1964-08-01,1964-09-01,SMALL LoBM,5.4362
1964-08-01,1964-09-01,ME1 BM2,2.9791
1964-08-01,1964-09-01,ME1 BM3,6.2309
1964-08-01,1964-09-01,ME1 BM4,2.768
1964-08-01,1964-09-01,SMALL HiBM,3.9217
1964-08-01,1964-09-01,ME2 BM1,3.3507
1964-08-01,1964-09-01,ME2 BM2,2.7652
1964-08-01,1964-09-01,ME2 BM3,2.2302
1964-08-01,1964-09-01,ME2 BM4,2.1863
1964-08-01,1964-09-01,ME2 BM5,4.7087
1964-08-01,1964-09-01,ME3 BM1,1.7622
1964-08-01,1964-09-01,ME3 BM2,2.0533
1964-08-01,1964-09-01,ME3 BM3,3.431
1964-08-01,1964-09-01,ME3 BM4,3.0761
1964-08-01,1964-09-01,ME3 BM5,3.7501
1964-08-01,1964-09-01,ME4 BM1,3.13
1964-08-01,1964-09-01,ME4 BM2,3.3262
1964-08-01,1964-09-01,ME4 BM3,4.1421
1964-08-01,1964-09-01,ME4 BM4,4.6636
1964-08-01,1964-09-01,ME4 BM5,4.2656
1964-08-01,1964-09-01,BIG LoBM,3.0865
1964-08-01,1964-09-01,ME5 BM2,1.347
1964-08-01,1964-09-01,ME5 BM3,4.283
1964-08-01,1964-09-01,ME5 BM4,4.5121
1964-08-01,1964-09-01,BIG HiBM,6.8538
1964-09-01,1964-10-01,SMALL LoBM,1.8991
1964-09-01,1964-10-01,ME1 BM2,0.0905
1964-09-01,1964-10-01,ME1 BM3,5.1491
1964-09-01,1964-10-01,ME1 BM4,1.9336
1964-09-01,1964-10-01,SMALL HiBM,3.3329
1964-09-01,1964-10-01,ME2 BM1,-1.3436
1964-09-01,1964-10-01,ME2 BM2,1.21
1964-09-01,1964-10-01,ME2 BM3,2.6037
1964-09-01,1964-10-01,ME2 BM4,1.2235
1964-09-01,1964-10-01,ME2 BM5,1.3573
1964-09-01,1964-10-01,ME3 BM1,3.2119
1964-09-01,1964-10-01,ME3 BM2,3.489
1964-09-01,1964-10-01,ME3 BM3,1.9459
1964-09-01,1964-10-01,ME3 BM4,1.1581
1964-09-01,1964-10-01,ME3 BM5,2.7149
1964-09-01,1964-10-01,ME4 BM1,0.9305
1964-09-01,1964-10-01,ME4 BM2,1.2955
1964-09-01,1964-10-01,ME4 BM3,1.2825
1964-09-01,1964-10-01,ME4 BM4,3.2659
1964-09-01,1964-10-01,ME4 BM5,3.7565
1964-09-01,1964-10-01,BIG LoBM,0.3221
1964-09-01,1964-10-01,ME5 BM2,1.0902
1964-09-01,1964-10-01,ME5 BM3,0.5699
1964-09-01,1964-10-01,ME5 BM4,0.5297
1964-09-01,1964-10-01,BIG HiBM,3.2922
1964-10-01,1964-11-01,SMALL LoBM,-0.3007
1964-10-01,1964-11-01,ME1 BM2,-0.1509
1964-10-01,1964-11-01,ME1 BM3,0.8917
1964-10-01,1964-11-01,ME1 BM4,0.6823
1964-10-01,1964-11-01,SMALL HiBM,0.5298
1964-10-01,1964-11-01,ME2 BM1,-0.967
1964-10-01,1964-11-01,ME2 BM2,0.1674
1964-10-01,1964-11-01,ME2 BM3,-0.1973
1964-10-01,1964-11-01,ME2 BM4,-0.6529
1964-10-01,1964-11-01,ME2 BM5,-1.767
1964-10-01,1964-11-01,ME3 BM1,1.6126
1964-10-01,1964-11-01,ME3 BM2,0.6029
1964-10-01,1964-11-01,ME3 BM3,0.1006
1964-10-01,1964-11-01,ME3 BM4,0.4017
1964-10-01,1964-11-01,ME3 BM5,-0.0585
1964-10-01,1964-11-01,ME4 BM1,0.6553
1964-10-01,1964-11-01,ME4 BM2,1.6438
1964-10-01,1964-11-01,ME4 BM3,-1.0152
1964-10-01,1964-11-01,ME4 BM4,-0.8372
1964-10-01,1964-11-01,ME4 BM5,-4.7187
1964-10-01,1964-11-01,BIG LoBM,1.0217
1964-10-01,1964-11-01,ME5 BM2,-0.3673
1964-10-01,1964-11-01,ME5 BM3,1.6422
1964-10-01,1964-11-01,ME5 BM4,-1.286
1964-10-01,1964-11-01,BIG HiBM,-4.6842
1964-11-01,1964-12-01,SMALL LoBM,-1.4726
1964-11-01,1964-12-01,ME1 BM2,-1.2379
1964-11-01,1964-12-01,ME1 BM3,-3.125
1964-11-01,1964-12-01,ME1 BM4,-2.6798
1964-11-01,1964-12-01,SMALL HiBM,-1.7928
1964-11-01,1964-12-01,ME2 BM1,1.4489
1964-11-01,1964-12-01,ME2 BM2,-0.1486
1964-11-01,1964-12-01,ME2 BM3,1.1892
1964-11-01,1964-12-01,ME2 BM4,-2.4864
1964-11-01,1964-12-01,ME2 BM5,-0.9464
1964-11-01,1964-12-01,ME3 BM1,0.116
1964-11-01,1964-12-01,ME3 BM2,0.588
1964-11-01,1964-12-01,ME3 BM3,-0.2675
1964-11-01,1964-12-01,ME3 BM4,-1.6849
1964-11-01,1964-12-01,ME3 BM5,-0.6796
