Model,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
Equal-Weight 25 Portfolios,5.680816605862366,0.1295443697262777,0.2055055331803535,0.69611729178766,-0.41360354654118336
XGBoost Signature,5.689800440748416,0.1296417298003263,0.2239370521621461,0.6567905760222965,-0.37412629136173914
Ensemble Combined,5.928519211386976,0.13218495715843415,0.22989042869608256,0.655567525231108,-0.4557521613831673
XGBoost Combined,5.928519211386976,0.13218495715843415,0.22989042869608256,0.655567525231108,-0.4557521613831673
Ensemble GARCH,5.6478332958174455,0.12918586751641992,0.2380971880917279,0.6298465534519891,-0.448963267017207
CNN GARCH,5.6478332958174455,0.12918586751641992,0.2380971880917279,0.6298465534519891,-0.448963267017207
CNN Combined,5.586145880206206,0.12851088366697483,0.24449761243627352,0.6172881849335523,-0.44176942107982864
XGBoost GARCH,4.0955232319215735,0.1100895081009241,0.241481264820149,0.5537424283822576,-0.4597222528221323
Ensemble Signature,3.8699706933808002,0.10687066976913573,0.23784120558414043,0.5464253916504825,-0.4672100528573844
CNN Signature,3.722916643712952,0.10469606624119265,0.23786359342243774,0.5381228596902414,-0.46516191692909137
