Date,StrategyReturn,SelectedPortfolios,CumulativeValue
2016-12-27,-0.012940000000000002,"ME1 BM2, SMALL LoBM, ME2 BM1, ME2 BM2, ME2 BM3",0.98706
2016-12-28,-0.00156,"ME1 BM2, SMALL HiBM, ME2 BM4, ME3 BM3, ME3 BM5",0.9855201864
2016-12-29,-0.00414,"ME1 BM2, ME4 BM4, SMALL LoBM, ME2 BM1, ME2 BM2",0.981440132828304
2016-12-30,0.00716,"ME1 BM2, SMALL LoBM, ME2 BM1, ME2 BM2, ME2 BM3",0.9884672441793547
2017-01-03,0.020640000000000002,"ME1 BM2, SMALL LoBM, ME2 BM1, ME2 BM2, ME2 BM3",1.0088692080992165
2017-01-04,-0.013619999999999998,"ME1 BM2, ME1 BM3, ME1 BM4, SMALL HiBM, ME2 BM4",0.9951284094849052
2017-01-05,2.0000000000000052e-05,"SMALL LoBM, ME2 BM1, ME2 BM2, ME3 BM1, ME4 BM1",0.9951483120530948
2017-01-06,-0.00268,"BIG LoBM, SMALL LoBM, ME1 BM2, SMALL HiBM, ME2 BM1",0.9924813145767926
2017-01-09,0.005259999999999999,"ME1 BM2, ME4 BM2, BIG LoBM, SMALL LoBM, ME2 BM1",0.9977017662914666
2017-01-10,-0.0038199999999999996,"ME1 BM2, ME2 BM4, SMALL LoBM, ME2 BM1, ME2 BM2",0.9938905455442331
2017-01-11,-0.013619999999999998,"ME1 BM2, ME1 BM3, ME1 BM4, SMALL HiBM, ME2 BM4",0.9803537563139206
2017-01-12,0.006959999999999999,"ME1 BM2, ME2 BM4, ME3 BM2, ME3 BM4, ME3 BM5",0.9871770184578655
2017-01-13,-0.01886,"ME1 BM2, SMALL LoBM, ME2 BM1, ME2 BM2, ME2 BM3",0.9685588598897502
2017-01-17,0.00358,"ME1 BM2, SMALL LoBM, ME2 BM1, ME2 BM2, ME2 BM3",0.9720263006081554
2017-01-18,-0.00984,"ME1 BM2, SMALL HiBM, ME4 BM2, SMALL LoBM, ME2 BM1",0.9624615618101712
2017-01-19,0.004399999999999999,"ME1 BM2, SMALL HiBM, ME1 BM3, ME1 BM4, ME2 BM4",0.9666963926821359
2017-01-20,-0.00448,"SMALL LoBM, ME1 BM2, ME2 BM1, ME2 BM2, ME2 BM3",0.9623655928429199
2017-01-23,0.018,"ME1 BM3, ME1 BM4, SMALL HiBM, ME2 BM4, ME3 BM2",0.9796881735140924
2017-01-24,0.0101,"ME1 BM2, ME1 BM4, SMALL LoBM, ME2 BM1, ME2 BM2",0.9895830240665847
2017-01-25,-0.00464,"ME1 BM3, ME1 BM4, ME2 BM4, ME3 BM5, ME4 BM3",0.9849913588349157
2017-01-26,-0.0027,"ME1 BM3, ME1 BM4, ME2 BM4, ME3 BM2, ME5 BM4",0.9823318821660614
2017-01-27,-0.016120000000000002,"SMALL LoBM, ME1 BM2, ME1 BM3, SMALL HiBM, ME2 BM1",0.9664966922255445
2017-01-30,0.007060000000000001,"BIG LoBM, SMALL LoBM, ME1 BM2, ME1 BM3, ME1 BM4",0.9733201588726569
