Model,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown
Ensemble Combined,4.712745358806138,0.12466517987743919,0.17314791781669078,0.7682130231221085,-0.2673906744182539
CNN Combined,4.712745358806138,0.12466517987743919,0.17314791781669078,0.7682130231221085,-0.2673906744182539
Ensemble Signature,6.087832073454201,0.14113751570640565,0.20268646925552714,0.7580127396121533,-0.36600087183149477
CNN GARCH,4.487162159862944,0.12161464576055403,0.17374734716203064,0.7498971628909125,-0.2669177686739438
XGBoost Signature,5.512531699460288,0.1346437897919941,0.2016510001773255,0.7324349622206177,-0.36611256490086685
XGBoost Combined,4.944412255730049,0.12768322029056534,0.19508930203074887,0.7170292789862247,-0.3794294092808157
Equal-Weight 25 Portfolios,4.352067545172582,0.11973129097567625,0.1830656171030457,0.7122478816114006,-0.30832588161897023
XGBoost GARCH,4.472154594048153,0.12140757352752041,0.19063162495385727,0.7003067841289877,-0.3758256614794778
Ensemble GARCH,3.7608083124196234,0.1109290899497779,0.17819729349065458,0.6816561745345968,-0.27359288989299013
CNN Signature,3.198563301824027,0.10155652954546746,0.18790260069460632,0.6105114177345193,-0.2768351737908834
