Experiment,Dataset,Model,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,Frequency,Factor Model,architecture,feature_type,Is Benchmark
monthly_ff3,Monthly FF3,Ensemble Combined,4.712745358806138,0.1246651798774391,0.1731479178166907,0.7682130231221085,-0.2673906744182539,Monthly,FF3,Ensemble,Combined,False
monthly_ff3,Monthly FF3,CNN Combined,4.712745358806138,0.1246651798774391,0.1731479178166907,0.7682130231221085,-0.2673906744182539,Monthly,FF3,CNN,Combined,False
monthly_ff3,Monthly FF3,Ensemble Signature,6.087832073454201,0.1411375157064056,0.2026864692555271,0.7580127396121533,-0.3660008718314947,Monthly,FF3,Ensemble,Signature,False
monthly_ff3,Monthly FF3,CNN GARCH,4.487162159862944,0.121614645760554,0.1737473471620306,0.7498971628909125,-0.2669177686739438,Monthly,FF3,CNN,GARCH,False
monthly_ff3,Monthly FF3,XGBoost Signature,5.512531699460288,0.1346437897919941,0.2016510001773255,0.7324349622206177,-0.3661125649008668,Monthly,FF3,XGBoost,Signature,False
monthly_ff3,Monthly FF3,XGBoost Combined,4.944412255730049,0.1276832202905653,0.1950893020307488,0.7170292789862247,-0.3794294092808157,Monthly,FF3,XGBoost,Combined,False
monthly_ff3,Monthly FF3,Equal-Weight 25 Portfolios,4.352067545172582,0.1197312909756762,0.1830656171030457,0.7122478816114006,-0.3083258816189702,Monthly,FF3,,,True
monthly_ff3,Monthly FF3,XGBoost GARCH,4.472154594048153,0.1214075735275204,0.1906316249538572,0.7003067841289877,-0.3758256614794778,Monthly,FF3,XGBoost,GARCH,False
monthly_ff3,Monthly FF3,Ensemble GARCH,3.760808312419624,0.1109290899497779,0.1781972934906545,0.6816561745345968,-0.2735928898929901,Monthly,FF3,Ensemble,GARCH,False
monthly_ff3,Monthly FF3,CNN Signature,3.198563301824027,0.1015565295454674,0.1879026006946063,0.6105114177345193,-0.2768351737908834,Monthly,FF3,CNN,Signature,False
monthly_ff5,Monthly FF5,CNN Signature,2.5261341387022536,0.144561571116137,0.211418559853309,0.7469894593164491,-0.3160310200395287,Monthly,FF5,CNN,Signature,False
monthly_ff5,Monthly FF5,XGBoost Combined,2.564921862299425,0.1459039485426798,0.221179076907385,0.7286641832584219,-0.3168122826731855,Monthly,FF5,XGBoost,Combined,False
monthly_ff5,Monthly FF5,XGBoost Signature,2.22504027924883,0.1336680527200964,0.2007660531501366,0.7272920282534358,-0.2699835900846139,Monthly,FF5,XGBoost,Signature,False
monthly_ff5,Monthly FF5,CNN GARCH,2.0746921299861003,0.127884065349402,0.2098832786686221,0.6801917348259644,-0.2917425755682939,Monthly,FF5,CNN,GARCH,False
monthly_ff5,Monthly FF5,Equal-Weight 25 Portfolios,1.887323401772028,0.1203115054977979,0.199362200296322,0.6723101388939742,-0.3083258816189704,Monthly,FF5,,,True
monthly_ff5,Monthly FF5,Ensemble Combined,2.0889295377608166,0.1284424852557162,0.2224639039233341,0.6576281955597763,-0.3485801590129253,Monthly,FF5,Ensemble,Combined,False
monthly_ff5,Monthly FF5,Ensemble Signature,1.8382245247812323,0.1182546764821144,0.2033131187790297,0.652463378075909,-0.2862258922972653,Monthly,FF5,Ensemble,Signature,False
monthly_ff5,Monthly FF5,Ensemble GARCH,1.6500045430235155,0.110063574452375,0.2100963596478721,0.603934717988203,-0.3379673895373174,Monthly,FF5,Ensemble,GARCH,False
monthly_ff5,Monthly FF5,XGBoost GARCH,1.6071585922317522,0.1081265735108041,0.206766203676514,0.6015637016373349,-0.3198273298474686,Monthly,FF5,XGBoost,GARCH,False
monthly_ff5,Monthly FF5,CNN Combined,1.547598719459192,0.1053861991249218,0.2151070320179015,0.5760069712164898,-0.3496319439195117,Monthly,FF5,CNN,Combined,False
daily_ff3,Daily FF3,Equal-Weight 25 Portfolios,5.680816605862366,0.1295443697262777,0.2055055331803535,0.69611729178766,-0.4136035465411833,Daily,FF3,,,True
daily_ff3,Daily FF3,XGBoost Signature,5.689800440748416,0.1296417298003263,0.2239370521621461,0.6567905760222965,-0.3741262913617391,Daily,FF3,XGBoost,Signature,False
daily_ff3,Daily FF3,Ensemble Combined,5.928519211386976,0.1321849571584341,0.2298904286960825,0.655567525231108,-0.4557521613831673,Daily,FF3,Ensemble,Combined,False
daily_ff3,Daily FF3,XGBoost Combined,5.928519211386976,0.1321849571584341,0.2298904286960825,0.655567525231108,-0.4557521613831673,Daily,FF3,XGBoost,Combined,False
daily_ff3,Daily FF3,Ensemble GARCH,5.6478332958174455,0.1291858675164199,0.2380971880917279,0.6298465534519891,-0.448963267017207,Daily,FF3,Ensemble,GARCH,False
daily_ff3,Daily FF3,CNN GARCH,5.6478332958174455,0.1291858675164199,0.2380971880917279,0.6298465534519891,-0.448963267017207,Daily,FF3,CNN,GARCH,False
daily_ff3,Daily FF3,CNN Combined,5.586145880206206,0.1285108836669748,0.2444976124362735,0.6172881849335523,-0.4417694210798286,Daily,FF3,CNN,Combined,False
daily_ff3,Daily FF3,XGBoost GARCH,4.0955232319215735,0.1100895081009241,0.241481264820149,0.5537424283822576,-0.4597222528221323,Daily,FF3,XGBoost,GARCH,False
daily_ff3,Daily FF3,Ensemble Signature,3.8699706933808,0.1068706697691357,0.2378412055841404,0.5464253916504825,-0.4672100528573844,Daily,FF3,Ensemble,Signature,False
daily_ff3,Daily FF3,CNN Signature,3.722916643712952,0.1046960662411926,0.2378635934224377,0.5381228596902414,-0.4651619169290913,Daily,FF3,CNN,Signature,False
daily_ff5,Daily FF5,XGBoost Combined,2.609644079397497,0.1465022319525881,0.2484511694524918,0.6751203394995338,-0.4505615230133586,Daily,FF5,XGBoost,Combined,False
daily_ff5,Daily FF5,Equal-Weight 25 Portfolios,1.9824245451137417,0.1234295941338585,0.2198056886078854,0.6401008077073062,-0.4136035465411833,Daily,FF5,,,True
daily_ff5,Daily FF5,Ensemble Signature,1.832706197730424,0.1172837358916243,0.2462056734051458,0.5741656489128324,-0.4679858476775308,Daily,FF5,Ensemble,Signature,False
daily_ff5,Daily FF5,XGBoost Signature,1.832706197730424,0.1172837358916243,0.2462056734051458,0.5741656489128324,-0.4679858476775308,Daily,FF5,XGBoost,Signature,False
daily_ff5,Daily FF5,CNN GARCH,1.7053665869252677,0.1118236768142284,0.2680820065111987,0.5300532972299804,-0.4585547570429852,Daily,FF5,CNN,GARCH,False
daily_ff5,Daily FF5,XGBoost GARCH,1.556730855934052,0.1051521486029942,0.2600957868587649,0.5149527527443102,-0.4664247031293418,Daily,FF5,XGBoost,GARCH,False
daily_ff5,Daily FF5,Ensemble GARCH,1.556730855934052,0.1051521486029942,0.2600957868587649,0.5149527527443102,-0.4664247031293418,Daily,FF5,Ensemble,GARCH,False
daily_ff5,Daily FF5,CNN Signature,1.1953533080256853,0.0873597479174106,0.2535776898714128,0.4577344428936516,-0.4184221525090232,Daily,FF5,CNN,Signature,False
