Experiment,Dataset,Frequency,Factor Model,architecture,feature_type,model,Accuracy,Precision,Recall,F1,ROC_AUC,Threshold
monthly_ff3,Monthly FF3,Monthly,FF3,Ensemble,,Ensemble Garch,0.207191011235955,0.200907029478458,0.995505617977528,0.3343396226415094,0.4894274712788789,0.4100000000000001
monthly_ff3,Monthly FF3,Monthly,FF3,XGBoost,,XGBoost Garch,0.2015730337078651,0.2001801396081963,0.998876404494382,0.3335209154004877,0.4935598409291756,0.19
monthly_ff3,Monthly FF3,Monthly,FF3,XGBoost,Signature,XGBoost Signature,0.2,0.2,1.0,0.3333333333333333,0.505177850018937,0.15
monthly_ff3,Monthly FF3,Monthly,FF3,Ensemble,Signature,Ensemble Signature,0.2,0.2,1.0,0.3333333333333333,0.5026406072465598,0.4100000000000001
monthly_ff3,Monthly FF3,Monthly,FF3,CNN,Signature,CNN Signature,0.2,0.2,1.0,0.3333333333333333,0.5001324012119681,0.44
monthly_ff3,Monthly FF3,Monthly,FF3,XGBoost,Combined,XGBoost Combined,0.2,0.2,1.0,0.3333333333333333,0.4977562807726297,0.05
monthly_ff3,Monthly FF3,Monthly,FF3,CNN,,CNN Garch,0.2056179775280898,0.2001813647698934,0.9921348314606742,0.3331446896811922,0.4932199217270546,0.42
monthly_ff3,Monthly FF3,Monthly,FF3,CNN,Combined,CNN Combined,0.2,0.199865107913669,0.998876404494382,0.3330835518920944,0.4928773197828556,0.45
monthly_ff3,Monthly FF3,Monthly,FF3,Ensemble,Combined,Ensemble Combined,0.2,0.199865107913669,0.998876404494382,0.3330835518920944,0.4928773197828556,0.45
monthly_ff5,Monthly FF5,Monthly,FF5,CNN,,CNN Garch,0.2085714285714285,0.2012987012987013,0.9964285714285714,0.3349339735894358,0.4970376275510204,0.4700000000000001
monthly_ff5,Monthly FF5,Monthly,FF5,Ensemble,Combined,Ensemble Combined,0.2153571428571428,0.2013863553447646,0.9857142857142858,0.3344441078461072,0.5034103954081632,0.4600000000000001
monthly_ff5,Monthly FF5,Monthly,FF5,XGBoost,Signature,XGBoost Signature,0.2,0.2,1.0,0.3333333333333333,0.4992833227040816,0.05
monthly_ff5,Monthly FF5,Monthly,FF5,Ensemble,Signature,Ensemble Signature,0.2,0.2,1.0,0.3333333333333333,0.496383131377551,0.4800000000000001
monthly_ff5,Monthly FF5,Monthly,FF5,CNN,Signature,CNN Signature,0.2,0.2,1.0,0.3333333333333333,0.4897851562499999,0.05
monthly_ff5,Monthly FF5,Monthly,FF5,CNN,Combined,CNN Combined,0.2017857142857143,0.1999283410963812,0.9964285714285714,0.333034914950761,0.4947556600765306,0.4600000000000001
monthly_ff5,Monthly FF5,Monthly,FF5,XGBoost,Combined,XGBoost Combined,0.2157142857142857,0.2005856515373353,0.9785714285714284,0.3329283110571081,0.4980480707908163,0.24
monthly_ff5,Monthly FF5,Monthly,FF5,Ensemble,,Ensemble Garch,0.2260714285714285,0.2000746547219111,0.9571428571428572,0.3309663476381599,0.4915353954081632,0.37
monthly_ff5,Monthly FF5,Monthly,FF5,XGBoost,,XGBoost Garch,0.2203571428571428,0.1991101223581757,0.9589285714285716,0.329751304881793,0.4909514508928571,0.27
daily_ff3,Daily FF3,Daily,FF3,CNN,Combined,CNN Combined,0.2,0.2,1.0,0.3333333333333333,0.5164593292198938,0.050000000745058
daily_ff3,Daily FF3,Daily,FF3,XGBoost,Combined,XGBoost Combined,0.2,0.2,1.0,0.3333333333333333,0.5096848194547128,0.050000000745058
daily_ff3,Daily FF3,Daily,FF3,Ensemble,Combined,Ensemble Combined,0.2,0.2,1.0,0.3333333333333333,0.5096848194547128,0.050000000745058
daily_ff3,Daily FF3,Daily,FF3,XGBoost,Signature,XGBoost Signature,0.2,0.2,1.0,0.3333333333333333,0.5068282739548335,0.050000000745058
daily_ff3,Daily FF3,Daily,FF3,XGBoost,,XGBoost Garch,0.2,0.2,1.0,0.3333333333333333,0.5041793867749655,0.050000000745058
daily_ff3,Daily FF3,Daily,FF3,CNN,,CNN Garch,0.2007126495291422,0.1999959228189629,0.9987783150928988,0.3332597323187716,0.5060899336213462,0.4399999380111694
daily_ff3,Daily FF3,Daily,FF3,Ensemble,,Ensemble Garch,0.2007126495291422,0.1999959228189629,0.9987783150928988,0.3332597323187716,0.5060899336213462,0.4399999380111694
daily_ff3,Daily FF3,Daily,FF3,Ensemble,Signature,Ensemble Signature,0.206098243827946,0.199917695473251,0.9891575464494784,0.3326115794428516,0.519896120959969,0.4699999094009399
daily_ff3,Daily FF3,Daily,FF3,CNN,Signature,CNN Signature,0.2060167981674726,0.1999012426960744,0.9891575464494784,0.3325888081606805,0.5196847835022269,0.3999999463558197
daily_ff5,Daily FF5,Daily,FF5,XGBoost,Combined,XGBoost Combined,0.2,0.2,1.0,0.3333333333333333,0.5132909869245131,0.050000000745058
daily_ff5,Daily FF5,Daily,FF5,CNN,,CNN Garch,0.2,0.2,1.0,0.3333333333333333,0.5098952037136412,0.050000000745058
daily_ff5,Daily FF5,Daily,FF5,Ensemble,Combined,Ensemble Combined,0.2,0.2,1.0,0.3333333333333333,0.5098248056969366,0.4699999094009399
